epoch,participant,event_trigger_height,pass_models,qwen_result,kimi_result,stored_confirmation_ratio,old_formula_matches_stored,new_algorithm_would_pass_alpha,loss_gonka,technical_status,eligibility_decision,reason
271,gonka16xa2sdc8qe2289nzr4e6vmdyzlke8g8fn8e75s,4184386,Qwen,pass_weight,no_submission,0.3309429767530519,True,False,139.200061369,formula_reconciled_policy_required,committee_policy_required,The chain formula is reproducible and still below alpha in bounded v0.2.13-style replay; payout depends on single-model policy.
272,gonka1fvly5jrewyjmjfgwah3khy9rttq4cqajcesv9p,4202293,Qwen,pass_weight,no_submission,0.2873716456026213,True,False,365.340258948,formula_reconciled_policy_required,committee_policy_required,The chain formula is reproducible and still below alpha in bounded v0.2.13-style replay; payout depends on single-model policy.
272,gonka1nku7u6d5mz80h35ty8ydeh0k5xydesvt9w0vjr,4202293,Qwen,pass_weight,no_submission,0.1962287210365091,True,False,146.964070171,formula_reconciled_policy_required,committee_policy_required,The chain formula is reproducible and still below alpha in bounded v0.2.13-style replay; payout depends on single-model policy.
272,gonka1q5xt54wncgzk7dxv9x64uln68455g83wu9tugg,4209686,Kimi,no_submission,pass_weight,0.4025727135404508,True,False,22521.036302544,formula_reconciled_policy_required,committee_policy_required,The chain formula is reproducible and still below alpha in bounded v0.2.13-style replay; payout depends on single-model policy.
272,gonka1ym3np7guxart483yfdxnlztuazx22cjt0e4a2p,4202293,Qwen,pass_weight,no_submission,0.1906037937018298,True,False,8037.485696859,formula_reconciled_policy_required,committee_policy_required,The chain formula is reproducible and still below alpha in bounded v0.2.13-style replay; payout depends on single-model policy.
273,gonka1fvly5jrewyjmjfgwah3khy9rttq4cqajcesv9p,4215427,Qwen,pass_weight,no_submission,0.4901303138443925,True,False,218.861247867,formula_reconciled_policy_required,committee_policy_required,The chain formula is reproducible and still below alpha in bounded v0.2.13-style replay; payout depends on single-model policy.
273,gonka1zktn8j65wlys8a8e38hqhf4y3x6m4x04zskkrx,4215427,Qwen,pass_weight,no_submission,0.3157608599255127,True,False,3018.788733411,formula_reconciled_policy_required,committee_policy_required,The chain formula is reproducible and still below alpha in bounded v0.2.13-style replay; payout depends on single-model policy.
274,gonka1fvly5jrewyjmjfgwah3khy9rttq4cqajcesv9p,4231815,Qwen,pass_weight,no_submission,0.2905418747002905,True,False,137.269776102,formula_reconciled_policy_required,committee_policy_required,The chain formula is reproducible and still below alpha in bounded v0.2.13-style replay; payout depends on single-model policy.
274,gonka1qwfrtz9c7kcrfkrrlne2pkcye74mj6ce33xdkl,4232787,Qwen,pass_weight,no_submission,0.3040954501954261,True,False,173.159717563,formula_reconciled_policy_required,committee_policy_required,The chain formula is reproducible and still below alpha in bounded v0.2.13-style replay; payout depends on single-model policy.
275,gonka1fvly5jrewyjmjfgwah3khy9rttq4cqajcesv9p,4258197,Qwen,pass_weight,no_submission,0.3348160903046826,True,False,126.220428182,formula_reconciled_policy_required,committee_policy_required,The chain formula is reproducible and still below alpha in bounded v0.2.13-style replay; payout depends on single-model policy.
276,gonka10mmdjau4dnj8krs7sh7t7635ttnmq9u3vqgz09,4267778,Qwen+Kimi,pass_weight,pass_weight,0.3526384050777585,False,False,17356.095656742,blocked_epoch276_overlap,committee_policy_required,"Epoch 276 must be resolved against P3-CAND-04 before payout, regardless of formula replay status."
276,gonka14tqh62mangwzrma2lgg2dm375rcjzn2ydy8ttm,4264130,Kimi,no_submission,pass_weight,0.3713006608671101,False,False,11765.489995489,blocked_epoch276_overlap,committee_policy_required,"Epoch 276 must be resolved against P3-CAND-04 before payout, regardless of formula replay status."
276,gonka1f0u3y2wneer8zhz3ypw4x54h38cpa0qsy8ts3e,4265965,Qwen,pass_weight,no_submission,0.1698606282794295,True,False,3557.528990032,blocked_epoch276_overlap,committee_policy_required,"Epoch 276 must be resolved against P3-CAND-04 before payout, regardless of formula replay status."
276,gonka1ujnc662v6g69jm6fgxnr79a2m7ehzeut059239,4264130,Kimi,no_submission,pass_weight,0.3636554209600337,True,False,10120.274911440,blocked_epoch276_overlap,committee_policy_required,"Epoch 276 must be resolved against P3-CAND-04 before payout, regardless of formula replay status."
